ID,Date,Person,Starttime,Totaltime,Dewlap,Pushbobs,Movements
L318,27-Jul,jtl,10:08:00AM,20,13,3,5
L320,21-Jul,ss,4:43:00AM,20,4,1,26
L320,24-Jul,jtl,10:07:00AM,20,0,0,21
L325,20-Jul,ss,10:08:00AM,20,6,0,7
L326,20-Jul,jtl,4:35:00PM,8,0,0,20
L326,20-Jul,maj,10:41:00AM,20,3,12,14
L326,25-Jul,jtl,10:10:00AM,20,2,12,13
L326,26-Jul,jtl,11:26:00AM,20,22,70,31
L329,23-Jul,maj,3:48:00AM,20,6,8,30
L329,25-Jul,ss,11:09:00AM,15,0,4,14
L329,26-Jul,jtl,3:06:00PM,20,0,3,7
L341,20-Jul,maj,3:41:00AM,20,13,6,3
L355,22-Jul,maj,8:47:00AM,20,0,0,1
